order_id,product_id,quantity,price,order_date
e17d8b1f,PROD-2292,4,878.74,2025-02-18
2f74f6f4,PROD-3733,8,63.47,2025-02-18
4c4eb493,PROD-2378,3,103.77,2025-02-23
b6251b73,PROD-3290,3,355.71,2025-02-09
7b9bb39e,PROD-9436,6,42.04,2025-02-20
0549c54c,PROD-7321,8,651.65,2025-02-09
6611c394,PROD-3021,1,226.97,2025-02-13
49c0e527,PROD-2588,3,750.17,2025-02-02
c73df7ba,PROD-2990,3,686.0,2025-02-16
f37436d0,PROD-1341,6,620.11,2025-02-03
2f21887f,PROD-8128,10,793.01,2025-02-28
999a2a56,PROD-2170,8,691.08,2025-02-03
fa5cd544,PROD-9560,2,258.0,2025-02-16
002d5469,PROD-1487,9,11.46,2025-02-07
cce35b9b,PROD-5855,8,102.96,2025-02-06
176e6ad5,PROD-9272,7,691.14,2025-02-17
3032ac25,PROD-3108,8,564.71,2025-02-22
6e36757e,PROD-8907,8,821.68,2025-02-04
b2e28136,PROD-9402,1,927.82,2025-02-23
99256d9c,PROD-8479,3,711.09,2025-02-11
174f2378,PROD-8390,2,475.15,2025-03-02
f2f38867,PROD-9025,3,139.57,2025-03-02
261bc766,PROD-1491,9,887.95,2025-02-03
022afb00,PROD-1507,1,711.52,2025-02-02
3814708f,PROD-1563,4,720.31,2025-02-02
ba0244d5,PROD-3587,7,736.75,2025-02-14
36eaa495,PROD-5512,7,105.18,2025-02-08
718fa884,PROD-2617,3,925.71,2025-02-10
5372e49d,PROD-3294,10,452.87,2025-02-03
33537b00,PROD-3610,3,809.94,2025-02-01
eae99884,PROD-2637,3,328.08,2025-02-17
35bbec28,PROD-1951,7,651.89,2025-02-01
00e324a3,PROD-8024,7,295.83,2025-02-26
8855327b,PROD-7453,6,870.69,2025-02-20
974ba101,PROD-6801,6,942.86,2025-02-26
8d67b3e0,PROD-6543,5,132.51,2025-02-09
15353b74,PROD-1368,3,537.82,2025-02-23
38039650,PROD-4332,3,698.06,2025-02-01
d9eae39e,PROD-4845,6,299.8,2025-03-01
1b9764ad,PROD-8939,6,826.94,2025-02-14
15b446e8,PROD-7253,5,808.05,2025-02-04
f25dd4d6,PROD-3634,10,323.31,2025-02-19
860cbf99,PROD-4621,3,987.21,2025-02-07
7ac9a81b,PROD-5129,5,533.62,2025-02-26
5da3fe13,PROD-4241,10,509.93,2025-02-20
82ca8947,PROD-8185,3,100.8,2025-02-19
57b8a824,PROD-4622,2,786.73,2025-02-27
d57df544,PROD-3731,7,268.96,2025-02-02
951463ff,PROD-6206,9,124.24,2025-02-26
9ae65bf5,PROD-8894,10,606.44,2025-02-26
